WRITERS,SOURCE,TERRITORY,REVENUE_TYPE,USAGE,SONG_ID,SONG_TITLE,NOTES,CONFIG,SELECTION,UNITS,BEG_PER,End_PER,AMOUNT_RECEIVED,SHARE,ROYALTY_AMT
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CURB RECORDS","DOMESTIC","MECHANICAL","","LOOKINGFOR02","LOOKING FOR LOVE","","","",9,"10/01/2017","12/31/2017",.370000,11.250000,.041625
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CURB RECORDS","DOMESTIC","MECHANICAL","","LOOKINGFOR02","LOOKING FOR LOVE","","","",2,"10/01/2017","12/31/2017",.060000,11.250000,.006750
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","ZAIKS","POLAND","FORPERFORM","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"10/01/2017","12/31/2017",.031064,.000000,.000000
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","ZAIKS","POLAND","FORPERFORM","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"10/01/2017","12/31/2017",.011649,.000000,.000000
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","ZAIKS","POLAND","FORPERFORM","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"10/01/2017","12/31/2017",.007766,.000000,.000000
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","ZAIKS","POLAND","FORPERFORM","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"10/01/2017","12/31/2017",.293167,.000000,.000000
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","ZAIKS","POLAND","FORPERFORM","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"10/01/2017","12/31/2017",.586333,.000000,.000000
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","ZAIKS","POLAND","FORPERFORM","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"10/01/2017","12/31/2017",.145612,.000000,.000000
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","MECHANICAL COPYRIGHT PROTECTION SOCIETY LIMITED","UK","MECHANICAL","","LOOKINGFOR02","LOOKING FOR LOVE","AP2 OTHER COMPANIES","","STR2067",1000,"07/01/2017","12/31/2017",1.720488,10.250000,.176350
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","AMCOS","NEWZEALAND","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","AMCOS NZ One Off Distribution Client","","",4588,"10/01/2017","12/31/2017",1.069694,10.250000,.109644
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","HAL LEONARD CORPORATION","DOMESTIC","PRINT","","LOOKINGFOR02","LOOKING FOR LOVE","","","",5450,"07/01/2017","12/31/2017",59.500000,11.250000,6.693750
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","HAL LEONARD CORPORATION","DOMESTIC","MECHANICAL","","LOOKINGFOR02","LOOKING FOR LOVE","","","",25,"07/01/2017","12/31/2017",.840000,11.250000,.094500
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","HAL LEONARD CORPORATION","DOMESTIC","PRINT","","LOOKINGFOR02","LOOKING FOR LOVE","","","",25,"07/01/2017","12/31/2017",3.710000,11.250000,.417375
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","EMI MUSIC PUBLISHING HONG KONG","THAILAND","MECHANICAL","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"01/01/2009","06/30/2009",.004534,11.388800,.000516
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","EMI MUSIC PUBLISHING HONG KONG","PHILLIPINE","FORPERFORM","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"01/01/2009","06/30/2009",.719767,.000000,.000000
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","EMI MUSIC PUBLISHING HONG KONG","TAIWAN","FORPERFORM","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"01/01/2009","06/30/2009",.413725,.000000,.000000
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","EMI MUSIC PUBLISHING HONG KONG","KOREA","MECHANICAL","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"01/01/2009","06/30/2009",-.006801,11.388800,-.000775
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","EMI MUSIC PUBLISHING HONG KONG","HONGKONG","PRINT","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"01/01/2009","06/30/2009",.055541,11.388800,.006325
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","EMI MUSIC PUBLISHING HONG KONG","HONGKONG","MECHANICAL","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"01/01/2009","06/30/2009",.020403,11.388800,.002324
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","EMI MUSIC PUBLISHING HONG KONG","KOREA","MECHANICAL","","LOOKINGFOR02","LOOKING FOR LOVE","","","",0,"07/01/2008","12/31/2008",26.737948,11.388800,3.045131
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","AMCOS","AUSTRALIA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","Google Play","","",4,"10/01/2017","12/31/2017",.101648,10.250000,.010419
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","AMCOS","AUSTRALIA","MECHANICAL","","LOOKINGFOR02","LOOKING FOR LOVE","Amcos One Off Distribution Client","","",4030,"10/01/2017","12/31/2017",.261381,10.250000,.026792
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","","408481316",4,"07/01/2017","09/30/2017",.001521,11.000000,.000167
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","266617185",2,"07/01/2017","09/30/2017",.000864,11.000000,.000095
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","1191316818",5,"07/01/2017","09/30/2017",.002287,11.000000,.000252
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Looking for Love","","278736157",10,"07/01/2017","09/30/2017",.000993,11.000000,.000109
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","364479862",4,"07/01/2017","09/30/2017",.002238,11.000000,.000246
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","BUMA STEMRA","HOLLAND","FORPERFORM","","LOOKINGFOR02","LOOKING FOR LOVE","","","81463",0,"01/01/2017","12/31/2017",.011904,.000000,.000000
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - CPCC (PRIVATE COPY)","CANADA","MECHANICAL","","LOOKINGFOR02","LOOKING FOR LOVE","","","",54,"01/01/2016","12/31/2016",4.141938,11.000000,.455613
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","CHARLIE MCCOY\Lookin' for Love","","716222382",1,"07/01/2017","09/30/2017",.000559,11.000000,.000061
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","337238672",4,"07/01/2017","09/30/2017",.000857,11.000000,.000094
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","294098896",2,"07/01/2017","09/30/2017",.000992,11.000000,.000109
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","1268794782",1,"07/01/2017","09/30/2017",.000433,11.000000,.000048
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","MICKEY GILLEY\Lookin' For Love","","355530535",150,"07/01/2017","09/30/2017",.071085,11.000000,.007819
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","Johhny Lee\Lookin' For Love","","402202702",117,"07/01/2017","09/30/2017",.039720,11.000000,.004369
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","263557690",80,"07/01/2017","09/30/2017",.035572,11.000000,.003913
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","314737803",70,"07/01/2017","09/30/2017",.031688,11.000000,.003486
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","MICKEY GILLEY\Lookin' for Love","","275961219",39,"07/01/2017","09/30/2017",.019803,11.000000,.002178
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","259947052",53,"07/01/2017","09/30/2017",.021029,11.000000,.002313
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Looking for Love","","277834216",41,"07/01/2017","09/30/2017",.017389,11.000000,.001913
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","","265383074",32,"07/01/2017","09/30/2017",.014506,11.000000,.001596
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","MICKEY GILLEY\Lookin' for Love","","184124645",22,"07/01/2017","09/30/2017",.010021,11.000000,.001102
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","5841997",26,"07/01/2017","09/30/2017",.010874,11.000000,.001196
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","362942238",33,"07/01/2017","09/30/2017",.016050,11.000000,.001766
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","1261320914",20,"07/01/2017","09/30/2017",.010219,11.000000,.001124
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","1218556440",8,"07/01/2017","09/30/2017",.004475,11.000000,.000492
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","","5841997",24,"07/01/2017","09/30/2017",.009015,11.000000,.000992
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","329480752",17,"07/01/2017","09/30/2017",.007620,11.000000,.000838
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","Countdown Chartbusters\Lookin' For Love","F","841ef47327ba9e998edf",11,"07/01/2017","09/30/2017",.002554,11.000000,.000281
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","5968f735a5728740b1ea",6,"07/01/2017","09/30/2017",.001391,11.000000,.000153
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","1eb4fe50c44447e0ea65",8,"07/01/2017","09/30/2017",.001853,11.000000,.000204
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","1fcac23aa3e6bac0f882",5,"07/01/2017","09/30/2017",.001161,11.000000,.000128
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","ac40ca67fba6e2d65c03",6,"07/01/2017","09/30/2017",.001400,11.000000,.000154
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","Johhny Lee\Lookin' For Love","F","310c5191c413ff60a7f6",3,"07/01/2017","09/30/2017",.000692,11.000000,.000076
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","2d048fb0f29ca6d27e17",2,"07/01/2017","09/30/2017",.000474,11.000000,.000052
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","45fefca21d382c99f232",14,"07/01/2017","09/30/2017",.003234,11.000000,.000356
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love (Re-Recorded In Stereo)","F","9ad8c659b6f75ae3c232",16,"07/01/2017","09/30/2017",.003712,11.000000,.000408
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","Countdown Chartbusters\Lookin' For Love","F","4056a296aef160443611",12,"07/01/2017","09/30/2017",.002772,11.000000,.000305
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE","F","20388892063ad9774c00",11,"07/01/2017","09/30/2017",.002548,11.000000,.000280
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","65acc0944a98a913c2ef",8,"07/01/2017","09/30/2017",.001843,11.000000,.000203
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","91a8bd46cd8a09b8e652",11,"07/01/2017","09/30/2017",.002604,11.000000,.000286
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","5bf52ffc95eb4099b226",13,"07/01/2017","09/30/2017",.003053,11.000000,.000336
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","MICKEY GILLEY\Lookin' For Love","F","4f422bbb710000aaabec",12,"07/01/2017","09/30/2017",.002773,11.000000,.000305
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\It Sounds Like Love","F","392711400ac50b92093d",15,"07/01/2017","09/30/2017",.003475,11.000000,.000382
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","9f963e3c173b43f60868",34,"07/01/2017","09/30/2017",.007902,11.000000,.000869
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Looking for Love","F","e00015422d46d0b8ca4f",99,"07/01/2017","09/30/2017",.023023,11.000000,.002533
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","Countdown Chartbusters","F","90c7902574bb8be849c1",65,"07/01/2017","09/30/2017",.015028,11.000000,.001653
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","fddc8c45ceeb8c2a8309",49,"07/01/2017","09/30/2017",.011297,11.000000,.001243
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","21449185ac8f75b033dd",59,"07/01/2017","09/30/2017",.013728,11.000000,.001510
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","5bc5e2ba8695bbfecaac",29,"07/01/2017","09/30/2017",.006785,11.000000,.000746
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","5bd9fb117407f32e0e88",31,"07/01/2017","09/30/2017",.007284,11.000000,.000801
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","F","89275276137c75786cb1",1253,"07/01/2017","09/30/2017",.291542,11.000000,.032070
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Looking for Love","","278736157",4,"01/01/2017","03/31/2017",.001879,11.000000,.000207
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","337238672",5,"01/01/2017","03/31/2017",.002361,11.000000,.000260
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","","408481316",5,"01/01/2017","03/31/2017",.001863,11.000000,.000205
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","MICKEY GILLEY\Lookin' for Love","","927915545",2,"01/01/2017","03/31/2017",.000940,11.000000,.000103
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","294098896",5,"01/01/2017","03/31/2017",.000603,11.000000,.000066
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","1218556440",4,"01/01/2017","03/31/2017",.000893,11.000000,.000098
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","","5841997",13,"01/01/2017","03/31/2017",.006058,11.000000,.000666
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","5841997",20,"01/01/2017","03/31/2017",.008262,11.000000,.000909
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","Countdown Chartbusters\Lookin' for Love","","962149584",6,"01/01/2017","03/31/2017",.003089,11.000000,.000340
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","266617185",7,"01/01/2017","03/31/2017",.003801,11.000000,.000418
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","MICKEY GILLEY\Lookin' For Love","","355530535",205,"04/01/2017","06/30/2017",.092561,11.000000,.010182
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","Johhny Lee\Lookin' For Love","","402202702",106,"04/01/2017","06/30/2017",.049273,11.000000,.005420
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","263557690",58,"04/01/2017","06/30/2017",.027751,11.000000,.003053
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","1218556440",37,"04/01/2017","06/30/2017",.019263,11.000000,.002119
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","MICKEY GILLEY\Lookin' for Love","","275961219",53,"04/01/2017","06/30/2017",.023283,11.000000,.002561
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","314737803",56,"04/01/2017","06/30/2017",.026137,11.000000,.002875
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","340991541",333,"04/01/2017","06/30/2017",.158182,11.000000,.017400
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Looking for Love","","74008693",1033,"04/01/2017","06/30/2017",.441427,11.000000,.048557
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","Me First And The Gimme Gimmes\Lookin' for Love","","291672814",695,"04/01/2017","06/30/2017",.299476,11.000000,.032942
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","271305366",315,"04/01/2017","06/30/2017",.139618,11.000000,.015358
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","DAVID HOUSTON\Looking For Love In All the Wrong Places","","411401120",271,"04/01/2017","06/30/2017",.131127,11.000000,.014424
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Looking for Love","","73987074",2816,"04/01/2017","06/30/2017",1.284464,11.000000,.141291
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","403733249",8933,"04/01/2017","06/30/2017",3.921593,11.000000,.431375
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","337238672",6,"04/01/2017","06/30/2017",.002783,11.000000,.000306
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","MICKEY GILLEY\Lookin' for Love","","184124645",10,"04/01/2017","06/30/2017",.004962,11.000000,.000546
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' For Love","","408481316",6,"04/01/2017","06/30/2017",.003146,11.000000,.000346
"WANDA MALLETTE\BOB MORRISON\PATTI RYAN","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","LOOKINGFOR02","LOOKING FOR LOVE","JOHNNY LEE\Lookin' for Love","","294098896",7,"04/01/2017","06/30/2017",.003085,11.000000,.000339
