Source,Normalized_Source
RETRANSMISSION-FAJN RADIA,Radio - General
RETRANSMISSION-FREE,Other
RETRANSMISSION-FREKVENCE 1,TV - General
RETRANSMISSION-HELAX,TV - General
RETRANSMISSION-HITRADIA,TV - General
RETRANSMISSION-JUNIOR,TV - General
RETRANSMISSION-KROKODYL,TV - General
RETRANSMISSION-NOVA,TV - General
RETRANSMISSION-NOVA ACTION,TV - General
RETRANSMISSION-NOVA CINEMA,TV - General
RETRANSMISSION-NOVA INTERNATIO,TV - General
RETRANSMISSION-OCKO,TV - General
RETRANSMISSION-OCKO EXPRES,TV - General
RETRANSMISSION-OCKO GOLD,TV - General
RETRANSMISSION-OCKO STAR,TV - General
RETRANSMISSION-ONLINE RADIA AC,Other
RETRANSMISSION-PLAY.CZ,TV - General
RETRANSMISSION-PRIMA,TV - General
RETRANSMISSION-PRIMA LOVE,TV - General
RETRANSMISSION-PRIMA MAX,TV - General
RETRANSMISSION-PRIMA PLUS,TV - General
RETRANSMISSION-RADIA BLANIK,Radio - General
RETRANSMISSION-RADIO EVROPA 2,Radio - General
RETRANSMISSION-RADIOZURNAL,Radio - General
RETRANSMISSION-RADIOZURNAL OLY,Radio - General
RETRANSMISSION-REGINA,TV - General
RETRANSMISSION-RELAX,TV - General
RETRANSMISSION-RFE,TV - General
RETRANSMISSION-RUBI,TV - General
RETRANSMISSION-SEZNAM.CZ-TV,TV - General
RETRANSMISSION-ZLIN,TV - General
Retrosepctive 2017,Other
Returned shares (Fremfrelse),Fremfrelse
RFC MEDIA,RFC Media
RFE,RFE
RFM,RFM
RFMS,RFMS
RFO TELEVISION,TV - General
"RGMA Marketing and Productions, Inc.",RGMA Marketing And Productions
RGU,RGU
RHAPS,Rhapsody
RHAPSODY,Rhapsody
RHAPSODY (1T18-2T18),Rhapsody
"RHAPSODY (2,3 T19)",Rhapsody
RHAPSODY (3T18),Rhapsody
Rhapsody International Inc,Rhapsody
RHAPSODY INTERNATIONAL INC.,Rhapsody
"RHAPSODY(4Q18,1Q19)",Rhapsody
Rhapsody/Napster Streaming Nor,Rhapsody
Rhapsody/Napster Unmatched Mek,Rhapsody
Rhapsody/Napster Unmatched Utf,Rhapsody
RHAPSODYINTERNA,Rhapsody
Rhino,Rhino
Rhythmethod ( S,Rhythmethod
Rhythmethod ( Sony Nz Music Licensed Stock),Rhythmethod
Rhythmethod (Warner Music Stock),Rhythmethod
RHYTHMETHODWA,Rhythmethod
Ridings FM 106.,Radio - General
Ridings FM 106.8 (Ce,Radio - General
Ridings FM High,Radio - General
Ridings FM High Peak,Radio - General
Ridings FM Low Peak,Radio - General
Ridings FM Non Peak,Radio - General
Ridings FM Public Re,Radio - General
RIEOLNETHEU,Other
RINGTONE,Ringtone
RIX,Radio - General
RIX FM,Radio - General
RIX FM mek,Radio - General
RIX FM utf,Radio - General
RJ AU-RADIO COMM-2DAY FM,Radio - General
RJ AU-RADIO COMM-6MIX,Radio - General
RJ AU-RADIO COMM-6PR,Radio - General
RJ AU-RADIO COMM-91.5,Radio - General
RJ AU-RADIO COMM-92.9,Radio - General
RJ AU-RADIO COMM-95.3,Radio - General
RJ AU-RADIO COMM-B105,Radio - General
RJ AU-RADIO COMM-FOX FM,Radio - General
RJ AU-RADIO COMM-KIIS 106.5,Radio - General
RJ AU-RADIO COMM-MIX 101.1,Radio - General
RJ AU-RADIO COMM-MIX 102.3,Radio - General
RJ AU-RADIO COMM-NOVA 100.3,Radio - General
RJ AU-RADIO COMM-NOVA 1069 BRI,Radio - General
RJ AU-RADIO COMM-NOVA 91.9,Radio - General
RJ AU-RADIO COMM-NOVA 93.7,Radio - General
RJ AU-RADIO COMM-NOVA 96.9,Radio - General
RJ AU-RADIO COMM-SAFM,Radio - General
RJ AU-RADIO COMM-SEN 1116,Radio - General
RLP DOM,Radio - General
RMC 2 SRL,Radio - General
RMC MOYEN ORIENT,Radio - General
RN AU-ABC JJJ,Other
RN NZ-MAORI,Radio - General
RO FRANCE INTERNATIONAL,Other
RO LOCALES REPERTOIRE SPECIFIQ,Other
ROBERTO MAURI,Roberto Mauri
ROBLES 1490,Other
ROBOTGURU KERESKEDOHAZ KFT.,Other
ROBOTRADE KFT.,Robotrade Kft
Rock 97.4 FM (Census,Radio - General
Rock Da House 2019,Rock Da House
Rock FM High Peak Co,Radio - General
Rock FM High Peak Ma,Radio - General
Rock FM Low Pea,Radio - General
Rock FM Low Peak Com,Radio - General
Rock FM Low Peak Mai,Radio - General
Rock FM Non Pea,Radio - General
Rock FM Non Peak Mai,Radio - General
Rock FM Public Recep,Radio - General
ROCK MY RUN,Rock My Run
ROGNA FRANCESCO,Rogna Francesco
ROKEPO SRL,Rokepo Srl
ROMANTICA FM 91,Radio - General
ROMANTICA STERE,Radio - General
RONIBOY KFT.,Roniboy
ROS&ROS,Ros&Ro
ROSARIA PALUMBO,Other
ROSENGARTEN KFT.,Resengarten
ROSENGARTEN SZEPSEGSZALON KFT.,Resengarten
ROSINTER MAGYARORSZAG KFT.,Rosinter Magyarorszag Kft
Roskilde Festival,Performances - General
Rother FM (Cens,Radio - General
Rother FM (Census),Radio - General
Rother FM High Peak,Radio - General
Rother FM Low P,Radio - General
Rother FM Low Peak M,Radio - General
Rother FM Non Peak M,Radio - General
Rother FM Public Rec,Radio - General
ROXY,ROXY
ROYAL PETROL KFT.,Other
ROYAL STREAMING,Internet - General
Royal Streaming Mek.,Internet - General
RP AU-2AAA,Other
RP AU-2CBA,Other
RP AU-2WEB,Other
RP AU-2WET,Other
RP AU-3JOY,Other
RP AU-3KND,Other
RP AU-3MFM,Other
RP AU-3TSC,Other
RP AU-4CAB,Other
RP AU-4CBL,Other
RP AU-4CSB,Other
RP AU-4FCR,Other
RP AU-4FRB,Other
RP AU-4GOD,Other
RP AU-4MET,Other
RP AU-4MW,Other
RP AU-4ZZZ,Other
RP AU-5RAM,Other
RP AU-5UMA,Other
RP AU-6SON,Other
RP AU-6WR,Other
RP AU-7RGY,Other
RP AU-8ARDS,Other
RP NZ-STUDENT,Other
RSI LA 1,TV - General
RSI LA 2,TV - General
RSY,RSY
RTBF LA DEUX,TV - General
RTBF LA TROIS,TV - General
RTBF LA UNE,TV - General
RTE1 TV GENERAL,TV - General
RTE2 TV GENERAL,TV - General
RTHK INTERNET - RADIO,Radio - General
RTHK ON INTERNET - RADIO,Radio - General
RTI,RTI
RTL 102.5 HIT RADIO SRL,Radio - General
RTL KABELTELEVIZIO KFT.,TV - General
RTL Videoland Abonnementen Mec,TV - General
RTL Videoland Abonnementen Per,TV - General
RTL Videoland Huurfilms Mech,TV - General
RTL Videoland Huurfilms Perf,TV - General
RTL-TVI,TV - General
RTL2,TV - General
RTL4,TV - General
RTL4 MR,TV - General
RTL5,TV - General
RTL5 MR,TV - General
RTL7,TV - General
RTL7 MR,Other
RTL8,TV - General
RTL8 MR,TV - General
RTLTVI,TV - General
RTP,RTP
RTS DEUX,TV - General
RTS UN,TV - General
RTVC - BOGOTA 9,TV - General
RTVC - SABANAGR,TV - General
RTVS - ROZHLAS,TV - General
RTVS - TELEV ZI,TV - General
RUBI,RUBI
RUBICON TV A/S,TV - General
RUES EN BELGIQUE,Rues En Belgique
Rugby 107.1 FM (Cens,Radio - General
Rugby 7's - Gold Coast Common,Gold Coast Common
RUMBA ESTEREO -,Radio - General
RUSSELLO MARIA,Other
Rutland Radio 1,Radio - General
Rutland Radio 107.2,Radio - General
RVA,RVA
RVI,RVI
R�DIOS CENTRO OESTE + DIREITOS GERAIS,Radio - General
R�DIOS SUDESTE + DIREITOS GERAIS,Radio - General
R�DIOS SUL + DIREITOS GERAIS,Radio - General
S & S OILS KFT.,Other
S G A E(SOCIEDAD GENERAL DE AUTORES DE ESPANA),SGAE
S&B TRADE KFT.,S&B Trade Kft
S-PETROL KFT.,Other
S.D.R.M.,SDRM
S4C Digital Comms Hi,TV - General
S4C Digital Comms Lo,TV - General
S4C Digital Comms No,TV - General
SAAVN,SAAVN
SABAM,SABAM
SACEM,SACEM
SACEM APDAYC SACIM SAYCO SCD S,SACEM
SACEM Reaggregated Rights,SACEM
SACEM Tax Refund,SACEM
SACEM Unclaimed 2014-2015,SACEM
SACEM-BT,SACEM
SACIM,SACIM
SACM,SACM
SADAIC,SADAIC
SAE TECHNOLOGY GROUP SAPI,SAE Technology Group SAPI
SAFRA-98,SAFRA
SAFRA-JI883,SAFRA
SALLE CULTURELLE,Salle Culturelle
SALLE DES FETES,Salle Des Fetes
SALONS MANTOVANI,Salons Mantovani
SALTO FILM OG FJERNS,Salto Film
SALTOFILMOGFJERNS,Salto Film
SAMRO,SAMRO
Samsung,Samsung
SAMSUNG MILK,Samsung
SAMSUNGELECTRONICS,Samsung
SANTO TOMAS EST,Other
SARARE F.M. STE,Radio - General
SARVARI MEDIA NONPROFIT KFT.,Other
SASPJ PLAZA HOTTON,Other
SAT 2000 ARTE VARIA,TV - General
SAT 2000 CULTURALI,TV - General
SAT 2000 FILM,TV - General
Satellite Radio ISRC,Radio - General
Satio,Satio
SAVE THE CHILDREN ITALIA ONLUS,Save The Children
SAYCE,SAYCE
SAYCO,SAYCO
SAZAS,SAZAS
SAZAS WCM,SAZAS
SBA,SBA
SBG KFT.,SBG Kft
SBI Global,SBI Global
SBLND,SBLND
SBRP,SBRP
SBS 9,SBS
SBS GOLF,SBS
SBS Radio Play,SBS
SBS 서울방송,SBS
SBS2 -,SBS
SBS2-VICELAND (DIGITAL TV) (AU,SBS
SBS6,SBS
SBS6 MR,SBS
SBS9 MR,SBS
SC TEMATIC CABLE SRL.,TV - General
SCD,SCD
SCENA,SCENA
SCHABLONBELOPP,Other
SCHOTT13,Other
SCHOTTM9,Other
SCIC,SCIC
SCION MUSIC GROUP,Scion Music Group
SCL2IR,Soundcloud
SCOFH,SCOFH
SCOMEGNA ED. MUS. SRL,Scomegna ED Mus Srl
Screenrights,Screenrights
SCREENRIGHTS APRA (AU SCHOOLS),APRA AMCOS
SCREENRIGHTS APRA (NZ SCHOOLS),APRA AMCOS
SCREENRIGHTS RETRANSMISSION -,Screenrights
SCREENRIGHTS-RETRANS-10 NET,Screenrights
SCREENRIGHTS-RETRANS-11,Screenrights
SCREENRIGHTS-RETRANS-7 NET,Screenrights
SCREENRIGHTS-RETRANS-7FLIX AUT,Screenrights
SCREENRIGHTS-RETRANS-7TWO,Screenrights
SCREENRIGHTS-RETRANS-9 NET,Screenrights
SCREENRIGHTS-RETRANS-ABC1,Screenrights
SCREENRIGHTS-RETRANS-ABC3,Screenrights
SCREENRIGHTS-RETRANS-ABC3 AUTO,Screenrights
SCREENRIGHTS-RETRANS-GEM AUTOM,Screenrights
SCREENRIGHTS-RETRANS-SBS1 AUTO,Screenrights
SCREENRIGHTS-RETRANS-SBS2 AUTO,Screenrights
Scuzz Non-Primetime,TV - General
SDE-883,Other
SDE-98,Other
SDI - EXTRA DE SHOW,TV - General
SDSNE,SDSNE
SE?AL DUITAMA 9,Other
SECURYCAST,SecuryCast
SECURYCAST OY,SecuryCast
SECURYCASTOY,SecuryCast
SEM,SEM
SENSACION STERE,Radio - General
SERIA,Seria
SERIO ALBERTO,Other
Seven Network,Seven Network
SEVEN NETWORK BLANKET LICENCE,Seven Network
SEZNAM.CZ-TV,TV - General
SF Anytime Utf.,TV - General
SFFK,SFFK
SFILATE,SFILATE
SG18-SG106,Other
SG18-SG123,Other
SG18-SG173,Other
SG18-SG252,Other
SG18-SG267,Other
SG18-SG268,Other
SG220-SG73,Other
SG220-SG75,Other
SG220-SG80,Other
SGACEDOM,SGACEDOM
SGAE,SGAE
SGAE SACEM APDAYC AGADU SPAC S,SGAE
SGAE SCD SACEM APDAYC AKM SAYC,SGAE
SH16-HBO,Other
SH16-HBOS,Other
SH16-LIFTI,Other
SH16-STW,Other
SH17-DTLC,Other
SH17-HBOS,Other
SH17-LIFTI,Other
SH17-MTVA,MTV
SH17-RTLEN,Other
SH17-SH01,Other
SH17-SH02,Other
SH18-BAM,Other
SH18-DTLC,Other
SH18-HBO,Other
SH18-MTVA,MTV
SH18-SH01,Other
SH18-SH02,Other
SH18-SONY,Other
SH18-WARNE,Other
SH19-BAM,Other
SH19-DIVAU,Other
SH19-FLIFE,Other
SH19-HBO,Other
SH19-HBOF,Other
SH19-HBOH,Other
SH19-HBOS,Other
SH19-MTVA,MTV
SH19-SONY,Other
SH19-WARNE,Other
SH220-SH01,Other
SH220-SH02,Other
SH220-SH03,Other
SHANNON/NORTH SOUND RADIO GENERAL,Radio - General
SHEET MUSIC DIRECT LTD,Sheet Music Direct
SHEET MUSIC NOW,Sheet Music Now
SHEET MUSIC NOW (WAS ONLINE SHEET M,Sheet Music Now
SHOMI,SHOMI
Shooting - Gold Coast Commonw,Gold Coast Common
SHOP2DOWNLOADSAR,Internet - General
SHOW,TV - General
SHOW CARNAVAL,TV - General
SHOW TV 2017,TV - General
"SHOWCASE (FOXTEL, OV, AUSTAR)",TV - General
Showquest,Showquest
SHOWS SEM ROTEIROS,Other
SHRSL,SHRSL
Shuffle,Shuffle
SIAE,SIAE
SIC - SOCIEDADE,SIC
SIENA,SIENA
Signal 1 (102.6,Radio - General
Signal 1 (102.6 96.4,Radio - General
Signal 1 (FM) Public,Radio - General
Signal 1 FM High Pea,Radio - General
Signal 1 FM Low,Radio - General
Signal 1 FM Low Peak,Radio - General
Signal 1 FM Non,Radio - General
Signal 1 FM Non Peak,Radio - General
Signal 107 (107,Radio - General
Signal 107 (107.7 FM,Radio - General
Signal 107 High Peak,Radio - General
Signal 107 Low,Radio - General
Signal 107 Low Peak,Radio - General
Signal 107 Non Peak,Radio - General
Signal 107 Public Re,Radio - General
Signal 2 (1170,Radio - General
Signal 2 (1170 AM St,Radio - General
Silk 106 High Peak M,Radio - General
Silk 106 Low Peak Ma,Radio - General
Silk 106 Non Peak Ma,Radio - General
SILVESTRIS VINCENZO,Other
SIMFYAG,Simfy
SIMPLICITY TOMA,Simplicity Toma
SINGLE MAN PRODUCTIONS,Single Man Productions
Singsnap Corpor,Singsnap
Singsnap Corporation,Singsnap
SINISCOOP,Siniscoop
SINT-PIETERSINSTITUUT,Other
SIO INGATLAN INVEST KFT.,Other
SIRIRS,Sirius XM
SISU RADIO DIGITAL,Radio - General
SISU RADIO DIGITAL MEK,Radio - General
Sisuradio Mek.,Radio - General
Sisuradio Mek. (analogi),Radio - General
Sisuradio Utf.,Radio - General
Sisuradio Utf. (analogi),Radio - General
Sjuan,Sjuan
Skala Fm,Skala Fm
SKDSP,SKDSP
SKFM,Radio - General
SKIDZ,SKIDZ
Sky 1 Public Recepti,Sky Networks
Sky 2 Eire Non-Prime,Sky Networks
Sky 2 Public Recepti,Sky Networks
Sky Action & Adventu,Sky Networks
SKY ARTE NEWS,Sky Networks
Sky Arts Comms High,Sky Networks
Sky Arts Comms Non P,Sky Networks
SKY ATLANTIC +1 NEWS,Sky Networks
Sky Atlantic Comms H,Sky Networks
Sky Atlantic Comms L,Sky Networks
Sky Atlantic Comms N,Sky Networks
Sky Atlantic Eire No,Sky Networks
Sky Atlantic Eire Pr,Sky Networks
SKY ATLANTIC NEWS,Sky Networks
Sky Atlantic Non-Pri,Sky Networks
Sky Atlantic Primeti,Sky Networks
SKY CALCIO NEWS,Sky Networks
SKY CHANNEL PTY LTD,Sky Networks
SKY CINEMA +1 NEWS,Sky Networks
SKY CINEMA +24 NEWS,Sky Networks
SKY CINEMA 1 NEWS,Sky Networks
Sky Cinema Action &,Sky Networks
SKY CINEMA CLASSIC NEWS,Sky Networks
Sky Cinema Comedy Co,Sky Networks
SKY CINEMA COMEDY NEWS,Sky Networks
Sky Cinema Crime & T,Sky Networks
Sky Cinema Drama & R,Sky Networks
SKY CINEMA FAMILY +1 NEWS,Sky Networks
SKY CINEMA FAMILY NEWS,Sky Networks
Sky Cinema Greats Co,Sky Networks
SKY CINEMA HITS NEWS,Sky Networks
SKY CINEMA MAX +1 NEWS,Sky Networks
SKY CINEMA MAX NEWS,Sky Networks
SKY CINEMA PASSION NEWS,Sky Networks
Sky Cinema Premiere,Sky Networks
Sky Cinema Scifi-Hor,Sky Networks
Sky Cinema Select Co,Sky Networks
Sky Cinema Showcase,Sky Networks
SKY CINEMA STAR WARS NEWS,Sky Networks
Sky Comedy Comms Hig,Sky Networks
Sky Comedy Comms Low,Sky Networks
Sky Comedy Comms Non,Sky Networks
Sky Comedy High Peak,Sky Networks
Sky Comedy Non-Prime,Sky Networks
Sky Comedy Primetime,Sky Networks
Sky Crime Comms High,Sky Networks
Sky Crime Comms Low,Sky Networks
Sky Crime Comms Non,Sky Networks
SKY CULT NEWS,Sky Networks
Sky Disney Commercia,Sky Networks
Sky Disney Non-Prime,Sky Networks
Sky Disney Primetime,Sky Networks
sky drama,Sky Networks
Sky Drama & Romance,Sky Networks
sky ENT,Sky Networks
Sky Family Commercia,Sky Networks
Sky Family Non-Prime,Sky Networks
Sky Family Primetime,Sky Networks
SKY GENERATION NEWS,Sky Networks
Sky Greats Non-Prime,Sky Networks
Sky Greats Primetime,Sky Networks
Sky Living (SPD),Sky Networks
Sky Living Commercia,Sky Networks
Sky Living Eire Non-,Sky Networks
Sky Living Eire Prim,Sky Networks
Sky Living Non-Prime,Sky Networks
Sky Living Primetime,Sky Networks
SKY METEO 24 NEWS,Sky Networks
Sky New Zealand,Sky Networks
Sky News Commercials,Sky Networks
Sky News Comms High,Sky Networks
Sky News Comms Low P,Sky Networks
Sky News Comms Non P,Sky Networks
Sky News Eire Non-Pr,Sky Networks
Sky News Eire Primet,Sky Networks
Sky News Non-Primeti,Sky Networks
Sky News Primetime C,Sky Networks
Sky News Public Rece,Sky Networks
Sky One (SPD),Sky Networks
Sky One Commercials,Sky Networks
Sky One Comms High P,Sky Networks
Sky One Comms Low Pe,Sky Networks
Sky One Comms Non Pe,Sky Networks
Sky Premiere (SPD),Sky Networks
Sky Premiere Non-Pri,Sky Networks
Sky Premiere Primeti,Sky Networks
SKY PRIMA FILA FILM,Sky Networks
SKY RADIO,Sky Networks
SKY Radio als Achtergrondmuzie,Sky Networks
Sky Radio als Agm in Horeca,Sky Networks
Sky Radio als Agm in Werkruimt,Sky Networks
Sky Radio als Agm in Winkelrui,Sky Networks
SKY Radio MR,Sky Networks
SKY ROCK,Sky Networks
Sky Sci-Fi/Horror No,Sky Networks
Sky Sci-Fi/Horror Pr,Sky Networks
Sky Select Commercia,Sky Networks
Sky Showcase (SPD),Sky Networks
Sky Showcase Primeti,Sky Networks
SKY SPORT 1 NEWS,Sky Networks
SKY SPORT 2 NEWS,Sky Networks
SKY SPORT 3 NEWS,Sky Networks
SKY SPORT F1 NEWS,Sky Networks
SKY SPORT FOOTBALL NEWS,Sky Networks
SKY SPORT GOLF NEWS,Sky Networks
SKY SPORT MIX NEWS,Sky Networks
SKY SPORT MOTOGP NEWS,Sky Networks
SKY SPORT PLUS NEWS,Sky Networks
SKY SPORT SERIA A NEWS,Sky Networks
Sky Sports 2 No,Sky Networks
Sky Sports 2 Non-Pri,Sky Networks
Sky Sports 2 Pr,Sky Networks
Sky Sports 2 Primeti,Sky Networks
Sky Sports 3 No,Sky Networks
Sky Sports 3 Non-Pri,Sky Networks
Sky Sports 3 Pr,Sky Networks
Sky Sports 3 Primeti,Sky Networks
Sky Sports 4 No,Sky Networks
Sky Sports 4 Non-Pri,Sky Networks
Sky Sports 4 Pr,Sky Networks
Sky Sports 4 Primeti,Sky Networks
Sky Sports 5 No,Sky Networks
Sky Sports 5 Non-Pri,Sky Networks
Sky Sports Acti,Sky Networks
Sky Sports Action Co,Sky Networks
Sky Sports Action Hi,Sky Networks
Sky Sports Action Lo,Sky Networks
Sky Sports Action No,Sky Networks
Sky Sports Action Pr,Sky Networks
Sky Sports Action Pu,Sky Networks
Sky Sports Aren,Sky Networks
Sky Sports Arena Com,Sky Networks
Sky Sports Arena Non,Sky Networks
Sky Sports Arena Pub,Sky Networks
Sky Sports Cric,Sky Networks
Sky Sports Cricket C,Sky Networks
Sky Sports Cricket H,Sky Networks
Sky Sports Cricket L,Sky Networks
Sky Sports Cricket N,Sky Networks
Sky Sports Cricket P,Sky Networks
Sky Sports F1 Comms,Sky Networks
Sky Sports F1 Primet,Sky Networks
Sky Sports F1 Public,Sky Networks
Sky Sports Football,Sky Networks
Sky Sports Golf Comm,Sky Networks
Sky Sports Golf Non-,Sky Networks
Sky Sports Golf Prim,Sky Networks
Sky Sports Golf Publ,Sky Networks
Sky Sports Main,Sky Networks
Sky Sports Main Even,Sky Networks
Sky Sports Mix,Sky Networks
Sky Sports News Comm,Sky Networks
Sky Sports News Hq P,Sky Networks
Sky Sports News Non-,Sky Networks
Sky Sports News Prim,Sky Networks
Sky Sports Premier L,Sky Networks
Sky Sports Raci,Sky Networks
Sky Sports Racing HD,Sky Networks
SKY SUPERCALCIO NEWS,Sky Networks
SKY TG 24 NEWS,Sky Networks
Sky Thriller (SPD),Sky Networks
Sky Two Comms High P,Sky Networks
Sky Two Comms Low Pe,Sky Networks
Sky Two Comms Non Pe,Sky Networks
Sky Two Low Peak,Sky Networks
Sky Two Non Peak,Sky Networks
SKY UNO +1 ARTE VARIA,Sky Networks
SKY UNO +1 CULTURALI,Sky Networks
SKY UNO +1 MUSICALE,Sky Networks
SKY UNO +1 NEWS,Sky Networks
SKY UNO ARTE VARIA,Sky Networks
SKY UNO CULTURALI,Sky Networks
SKY UNO MUSICALE,Sky Networks
SKY UNO NEWS,Sky Networks
SKY WIMBLEDON NEWS,Sky Networks
Sky Witness  High Pe,Sky Networks
Sky Witness  Low Pea,Sky Networks
Sky Witness  Non Pea,Sky Networks
Sky Witness Comms Hi,Sky Networks
Sky Witness Comms Lo,Sky Networks
Sky Witness Comms No,Sky Networks
Sky1 (SPD),Sky Networks
Sky1 Commercials (SP,Sky Networks
Sky1 Eire Non-Primet,Sky Networks
Sky1 Eire Primetime,Sky Networks
Sky1 Non-Primetime C,Sky Networks
Sky1 Primetime,Sky Networks
Sky1 Primetime Comme,Sky Networks
Sky2 Non-Primetime C,Sky Networks
Sky2 Primetime Comme,Sky Networks
SKYLAND KFT.,Skyland
SKYLARK FORMATS,Skylark
Skyline IFE - P,Skyline
Slacker,Slacker
SLACKER - WWW.SLACKER.COM,Slacker
SLACKER INC,Slacker
SLACKER ONDE,Slacker
Slacker OnDemand,Slacker
Slam FM,Radio - General
Slam FM als Achtergrondmuziek,Radio - General
Slam FM als Agm in Horeca,Radio - General
Slam FM als Agm in Werkruimtes,Radio - General
Slam FM als Agm in Winkelruimt,Radio - General
Slam FM MR,Radio - General
SLICE,Slice
SLOVENIE,Other
Slr,SLR
SM18-SM01,Other
SM19-SM01,Other
SMA (SATELLITE MUSIC AUSTRALIA,Radio - General
Small & Community Ra,Radio - General
SMARAGD-M KFT.,Other
SMART,SMART
SMART (06667),SMART
Smash Hits! (SPD),Radio - General
Smash Hits! Commerci,Radio - General
Smash Hits! Non,Radio - General
Smash Hits! Non-Prim,Radio - General
Smash Hits! Pri,Radio - General
Smash Hits! Primetim,Radio - General
SMC UK Comms High Pe,Radio - General
SMITCAT1,Other
SMOOTH (FOXTEL MUSIC CHANNEL),Radio - General
Smooth - Bristo,Radio - General
Smooth - Bristol  Hi,Radio - General
Smooth - Bristol  Lo,Radio - General
Smooth - Bristol  No,Radio - General
Smooth - Cardif,Radio - General
Smooth - Cardiff GMA,Radio - General
Smooth - Chelms,Radio - General
Smooth - Chelmsford,Radio - General
Smooth - Cheshi,Radio - General
Smooth - Cheshire Hi,Radio - General
Smooth - Cheshire Lo,Radio - General
Smooth - Cheshire No,Radio - General
Smooth - Dunsta,Radio - General
Smooth - Dunstable,Radio - General
Smooth - E.Midl,Radio - General
Smooth - E.Midlands,Radio - General
Smooth - Hants,Radio - General
Smooth - Hants High,Radio - General
Smooth - Hants Low P,Radio - General
Smooth - Hants Non P,Radio - General
Smooth - Kent,Radio - General
Smooth - Kent  High,Radio - General
Smooth - Kent  Low P,Radio - General
Smooth - Kent  Non P,Radio - General
Smooth - N.East,Radio - General
Smooth - N.East High,Radio - General
Smooth - N.East Low,Radio - General
Smooth - N.East Non,Radio - General
Smooth - N.West,Radio - General
Smooth - N.West High,Radio - General
Smooth - N.West Low,Radio - General
Smooth - N.West Non,Radio - General
Smooth - Norwic,Radio - General
Smooth - Norwich Hig,Radio - General
Smooth - Norwich Low,Radio - General
Smooth - Norwich Non,Radio - General
Smooth - Peterb,Radio - General
Smooth - Peterboroug,Radio - General
Smooth - Readin,Radio - General
Smooth - Reading Hig,Radio - General
Smooth - Reading Low,Radio - General
Smooth - Reading Non,Radio - General
Smooth - Sussex,Radio - General
Smooth - Sussex  Hig,Radio - General
Smooth - Sussex  Low,Radio - General
Smooth - Sussex  Non,Radio - General
Smooth - Swindo,Radio - General
Smooth - Swindon Hig,Radio - General
Smooth - Swindon Low,Radio - General
Smooth - Swindon Non,Radio - General
Smooth Analogy,Radio - General
Smooth Extra High Pe,Radio - General
Smooth Extra Low Pea,Radio - General
Smooth Extra No,Radio - General
Smooth Extra Non Pea,Radio - General
Smooth Radio -,Radio - General
Smooth Radio - Lake,Radio - General
Smooth Radio - Londo,Radio - General
Smooth Radio - Scotl,Radio - General
Smooth Radio - W.Mid,Radio - General
SMUKFEST,Smukfest
Smule,Smule
SMULE INC,Smule
SOC. COOP.IL LEPRECAUNOONLUS,Other
SOCAN,SOCAN
SOERUPJ1,Other
Soho Radio,Radio - General
SOKOJ,SOKOJ
SOKOJ - PUBLIC PERFORMANCE & BROADCASTING 2015 - WARNER CHAPPELL,SOKOJ
SOL MUSICA,Sol Musica
SOLDANO DONATELLA,Other
SOLITON,Soliton
SOM LIVRE (BRASIL),Som Livre
Somethin Else -,Other
Song Galaxy,Song Galaxy
SONGSTERR,Songsterr
SONGWIZE - AMAZON PRIME OBO WCM 2Q19,Amazon
SONGWIZE - GOOGLE PLAY OBO WC 4Q2012 - 2Q2018,Google
SONORIZA??O AMBIENTAL,Other
SONORIZAÇÃO AMBIENTAL,Other
sonos,Sonos
SONY,Sony Music
Sony BMG Music,Sony Music
SONY CLASSICAL,Sony Music
Sony Movies (UK) Com,Sony Music
SONY MUSIC,Sony Music
SONY MUSIC ENT. DENM,Sony Music
SONY MUSIC ENT. FINL,Sony Music
SONY MUSIC ENT. NORW,Sony Music
SONY MUSIC ENT. SWED,Sony Music
Sony Music Ente,Sony Music
SONY MUSIC ENTE (06667),Sony Music
SONY MUSIC ENTERT.(ITALY)SPA,Sony Music
SONY MUSIC ENTERTAIMENT CHILE S.A.,Sony Music
SONY MUSIC ENTERTAIN,Sony Music
SONY MUSIC ENTERTAINMENT,Sony Music
Sony Music Entertainment Australia,Sony Music
Sony Music Entertainment China,Sony Music
SONY MUSIC ENTERTAINMENT HONG KONG,Sony Music
SONY MUSIC ENTERTAINMENT INC.,Sony Music
Sony Music Entertainment Indonesia,Sony Music
SONY MUSIC ENTERTAINMENT ITALY,Sony Music
SONY MUSIC ENTERTAINMENT MAGYA,Sony Music
"SONY MUSIC ENTERTAINMENT MEXICO, S.A. DE C.V.",Sony Music
Sony Music Entertainment New Zealand Ltd,Sony Music
Sony Music Entertainment Taiwan,Sony Music
SONY MUSIC ENTERTAINMENT UK LIMITED,Sony Music
SONY MUSIC GEMA,Sony Music
Sony Music Korea,Sony Music
SONY MUSIC MEDI,Sony Music
Sony Music UK,Sony Music
SONY/BMG FRANCE,Sony Music
SONYBMG VIDEO CENTRALISE,Sony Music
SONYMU,Sony Music
SONYMUS,Sony Music
SONYMUSICENTDENM,Sony Music
SONYMUSICENTE,Sony Music
SONYMUSICENTSWED,Sony Music
Soribada,Soribada
Sorie+,Sorie+
SOUNDCLOUD,Soundcloud
SOUNDCLOUD FREE,Soundcloud
SoundCloud GO,Soundcloud
