Record Number,CAE Number,Rights Type,Distribution (posted),Usage Narrative,Un-Notified Flag,Work Title,Amount (performance revenue),Share,Perf Start Date,Perf End Date,Prod Header,Broadcast Region,Production ID,Number of Perfs,Duration,IP1,IP2,IP3,IP4,Tunecode,ISWC,WID,Catalogue Number,Invoice Number,Currency,Works Share Transfer From,Works Share Transfer To,Old Share,New Share,Adjustment Reason
217,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.009,50,12/08/2015,12/08/2015, , ,,00000068, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,291208775,245053,GBP, , , , , 
218,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.009,50,12/08/2015,12/08/2015, , ,,00000106, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14788439,245053,GBP, , , , , 
219,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.009,50,12/08/2015,12/08/2015, , ,,00000112, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,182650530,245053,GBP, , , , , 
220,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.009,50,12/08/2015,12/08/2015, , ,,00000145, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,245053,GBP, , , , , 
221,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.027,50,12/08/2015,12/08/2015, , ,,00000336, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14204415,245053,GBP, , , , , 
222,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.288,50,12/08/2015,12/08/2015, , ,,00004542, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,245053,GBP, , , , , 
223,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.036,50,12/08/2015,12/08/2015, , ,,00000565, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,245053,GBP, , , , , 
224,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.045,50,12/08/2015,12/08/2015, , ,,00000638, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,245053,GBP, , , , , 
225,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.081,50,12/08/2015,12/08/2015, , ,,00001175, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14778716,245053,GBP, , , , , 
226,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.081,50,12/08/2015,12/08/2015, , ,,00001198, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,13646101,245053,GBP, , , , , 
227,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.189,50,12/08/2015,12/08/2015, , ,,00003049, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14204359,245053,GBP, , , , , 
228,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Ain't No Man,.036,50,12/08/2015,12/08/2015, , ,,00000509, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,15498611,245053,GBP, , , , , 
229,177149937,M,2016101,Alliance iTunes Ireland Permanent Download Service Album, ,Ain't No Man,.0257,50,27/12/2015,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208702,EUR, , , , , 
230,177149937,M,2016101,Alliance iTunes Ireland Permanent Download Service Album, ,Ain't No Man,.0085,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208727,EUR, , , , , 
231,177149937,M,2016101,Alliance iTunes Ireland Permanent Download Service Album, ,Ain't No Man,.0085,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208705,EUR, , , , , 
232,177149937,M,2016101,Alliance iTunes Ireland Permanent Download Service Single, ,Ain't No Man,.2524,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,15498611,231186,EUR, , , , , 
233,177149937,M,2016101,Alliance iTunes Ireland Permanent Download Service Single, ,Ain't No Man,.2524,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,291208775,231186,EUR, , , , , 
234,177149937,M,2016101,Alliance iTunes Ireland Permanent Download Service Single, ,Ain't No Man,.2524,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14788439,231186,EUR, , , , , 
235,177149937,M,2016101,Alliance iTunes Ireland Permanent Download Service Single, ,Ain't No Man,.2524,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14204359,231186,EUR, , , , , 
236,177149937,M,2016101,Alliance iTunes Ireland Permanent Download Service Single, ,Ain't No Man,1.0096,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,231186,EUR, , , , , 
237,177149937,M,2016101,Alliance iTunes Ireland Permanent Download Service Single, ,Ain't No Man,.2524,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14778716,231186,EUR, , , , , 
238,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0499,50,31/01/2016,, , ,,00000005, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
239,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.027,50,31/01/2016,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
240,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0618,50,31/01/2016,, , ,,00000007, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
241,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.2247,50,31/01/2016,, , ,,00000015, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
242,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.162,50,31/01/2016,, , ,,00000024, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
243,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.621,50,31/01/2016,, , ,,00000092, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
244,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0135,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
245,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0118,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
246,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0303,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
247,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0169,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
248,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0085,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
249,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0303,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
250,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0303,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
251,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0304,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
252,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0402,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
253,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0871,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
254,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0202,50,28/02/2016,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
255,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0599,50,28/02/2016,, , ,,00000006, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
256,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.1519,50,28/02/2016,, , ,,00000009, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
257,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0795,50,28/02/2016,, , ,,00000009, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
258,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.2248,50,28/02/2016,, , ,,00000015, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
259,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.1957,50,28/02/2016,, , ,,00000029, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
260,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.675,50,28/02/2016,, , ,,00000100, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208687,GBP, , , , , 
261,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.1182,50,31/01/2016,, , ,,00000007, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
262,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.067,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
263,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0201,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
264,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0169,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
265,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0338,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
266,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0102,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
267,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0144,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208684,GBP, , , , , 
268,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.729,50,27/12/2015,, , ,,00000108, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
269,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.27,50,27/12/2015,, , ,,00000040, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
270,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.3896,50,27/12/2015,, , ,,00000026, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
271,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.1767,50,27/12/2015,, , ,,00000020, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
272,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.3375,50,27/12/2015,, , ,,00000020, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
273,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.1199,50,27/12/2015,, , ,,00000012, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
274,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0168,50,27/12/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
275,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0303,50,27/12/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
276,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0268,50,27/12/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
277,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0871,50,27/12/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
278,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0202,50,27/12/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
279,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Ain't No Man,.0337,50,27/12/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208681,GBP, , , , , 
280,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,13646101,231178,GBP, , , , , 
281,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,1.008,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,231178,GBP, , , , , 
282,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,400443525,231178,GBP, , , , , 
283,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,369716118,231178,GBP, , , , , 
284,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,330258115,231178,GBP, , , , , 
285,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,328319147,231178,GBP, , , , , 
286,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14204359,231178,GBP, , , , , 
287,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,291208775,231178,GBP, , , , , 
288,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,271808028,231178,GBP, , , , , 
289,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,15498611,231178,GBP, , , , , 
290,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14788439,231178,GBP, , , , , 
291,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14778716,231178,GBP, , , , , 
292,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,14204415,231178,GBP, , , , , 
293,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A,328318672,231178,GBP, , , , , 
294,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0896,50,31/01/2016,, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208685,GBP, , , , , 
295,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.2913,50,31/01/2016,, , ,,00000013, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208685,GBP, , , , , 
296,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.4034,50,31/01/2016,, , ,,00000018, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208685,GBP, , , , , 
297,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,1.3446,50,31/01/2016,, , ,,00000060, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208685,GBP, , , , , 
298,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0626,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208688,GBP, , , , , 
299,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0448,50,28/02/2016,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208688,GBP, , , , , 
300,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.135,50,28/02/2016,, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208688,GBP, , , , , 
301,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0896,50,28/02/2016,, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208688,GBP, , , , , 
302,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.135,50,28/02/2016,, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208688,GBP, , , , , 
303,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.3361,50,28/02/2016,, , ,,00000015, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208688,GBP, , , , , 
304,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.381,50,28/02/2016,, , ,,00000017, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208688,GBP, , , , , 
305,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.986,50,28/02/2016,, , ,,00000044, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208688,GBP, , , , , 
306,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0939,50,27/12/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208682,GBP, , , , , 
307,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.135,50,27/12/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208682,GBP, , , , , 
308,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0356,50,27/12/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208682,GBP, , , , , 
309,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0675,50,27/12/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208682,GBP, , , , , 
310,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.3586,50,27/12/2015,, , ,,00000016, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208682,GBP, , , , , 
311,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.381,50,27/12/2015,, , ,,00000017, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208682,GBP, , , , , 
312,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,1.0533,50,27/12/2015,, , ,,00000047, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208682,GBP, , , , , 
313,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0337,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208685,GBP, , , , , 
314,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0909,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208685,GBP, , , , , 
315,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0337,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208685,GBP, , , , , 
316,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0675,50,31/01/2016,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208685,GBP, , , , , 
317,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Ain't No Man,.0672,50,31/01/2016,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208685,GBP, , , , , 
318,177149937,M,2016101,Heart TV Non-Primetime, ,Ain't No Man,.04,50,31/01/2016,31/01/2016, ,Heart TV,,00000001,206,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, , , , , , , , 
319,177149937,M,2016101,Heart TV Non-Primetime, ,Ain't No Man,.04,50,07/01/2016,07/01/2016, ,Heart TV,,00000001,206,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, , , , , , , , 
320,177149937,M,2016101,Heart TV Non-Primetime, ,Ain't No Man,.04,50,07/01/2016,07/01/2016, ,Heart TV,,00000001,206,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, , , , , , , , 
321,177149937,M,2016101,Heart TV Non-Primetime, ,Ain't No Man,.04,50,20/02/2016,20/02/2016, ,Heart TV,,00000001,206,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, , , , , , , , 
